93.3,15.1,106.8,18.4,105.0,25.4,91.6,22.0
105.5,17.9,109.0,17.9,109.0,21.7,105.5,21.7
16.5,24.1,109.3,24.1,109.3,33.0,16.5,33.0
33.3,36.8,50.9,36.8,50.9,44.7,33.3,44.7
55.0,36.6,109.1,37.3,108.9,47.3,54.9,46.6
16.2,37.8,29.1,37.2,29.5,44.9,16.6,45.6
31.2,48.0,54.3,47.6,54.4,55.7,31.3,56.1
54.7,48.1,65.3,48.1,65.3,55.7,54.7,55.7
66.3,48.0,86.2,50.5,85.1,59.3,65.2,56.8
95.9,48.5,109.3,48.5,109.3,58.4,95.9,58.4
16.5,50.5,29.9,50.5,29.9,58.4,16.5,58.4
88.0,50.9,93.2,50.9,93.2,58.1,88.0,58.1
85.0,58.6,109.2,59.6,108.9,66.9,84.7,66.0
16.7,61.2,46.3,60.1,46.6,66.8,16.9,67.9
50.5,60.8,63.6,60.8,63.6,65.7,50.5,65.7
66.0,60.5,82.5,60.5,82.5,68.4,66.0,68.4
15.9,68.8,37.7,67.9,38.0,75.6,16.2,76.5
82.2,68.4,106.6,68.4,106.6,78.0,82.2,78.0
40.4,68.4,67.7,70.5,67.1,78.6,39.8,76.5
70.1,68.8,79.1,68.8,79.1,76.0,70.1,76.0
39.4,80.2,73.3,77.4,74.0,85.8,40.1,88.6
76.2,77.5,100.3,81.4,98.8,90.4,74.8,86.5
26.6,80.8,39.5,80.3,39.7,85.9,26.9,86.4
49.2,88.3,56.0,88.3,56.0,95.9,49.2,95.9
56.2,89.1,79.7,88.3,79.9,95.9,56.4,96.6
80.8,89.4,87.7,89.4,87.7,95.6,80.8,95.6
37.1,90.8,48.1,90.8,48.1,95.9,37.1,95.9
48.2,98.0,78.1,98.5,78.0,106.3,48.1,105.9
56.0,114.8,83.9,114.8,83.9,121.3,56.0,121.3
85.2,115.2,92.1,115.2,92.1,121.3,85.2,121.3
92.1,115.2,110.3,115.2,110.3,122.4,92.1,122.4
60.8,123.1,74.2,123.1,74.2,128.6,60.8,128.6
91.5,122.9,110.2,123.5,110.0,129.0,91.3,128.4
74.2,123.4,77.3,123.4,77.3,128.9,74.2,128.9
80.1,124.1,89.4,124.1,89.4,128.6,80.1,128.6
79.3,130.0,101.7,129.5,101.8,135.3,79.5,135.8
102.1,129.6,110.3,129.6,110.3,135.4,102.1,135.4
72.9,129.9,78.4,129.9,78.4,135.8,72.9,135.8
60.5,131.3,71.2,131.3,71.2,137.2,60.5,137.2
96.2,136.5,110.0,136.5,110.0,142.3,96.2,142.3
68.4,137.2,74.2,137.2,74.2,142.7,68.4,142.7
85.9,137.8,96.2,137.8,96.2,144.0,85.9,144.0
74.9,138.2,85.6,138.2,85.6,143.7,74.9,143.7
60.8,138.5,67.0,138.5,67.0,142.7,60.8,142.7
91.8,143.7,99.3,143.7,99.3,149.5,91.8,149.5
101.1,143.7,110.7,143.7,110.7,149.2,101.1,149.2
60.2,145.6,78.8,142.7,79.8,149.1,61.2,152.0
81.1,144.0,91.4,144.0,91.4,149.5,81.1,149.5
66.8,150.7,75.9,151.3,75.6,156.9,66.4,156.3
77.0,150.6,91.1,150.6,91.1,157.4,77.0,157.4
101.1,150.9,108.3,150.9,108.3,156.4,101.1,156.4
91.4,151.2,100.0,151.2,100.0,156.4,91.4,156.4
61.5,152.6,65.0,152.6,65.0,156.1,61.5,156.1
69.3,158.3,110.6,157.3,110.8,164.5,69.5,165.4
17.3,158.3,29.5,159.0,29.2,164.6,16.9,163.9
49.2,158.1,55.3,158.1,55.3,164.3,49.2,164.3
56.9,159.9,68.0,159.3,68.3,165.0,57.2,165.5
37.1,159.8,47.4,159.8,47.4,165.7,37.1,165.7
33.0,160.2,36.4,160.2,36.4,165.3,33.0,165.3
29.6,161.9,32.0,161.9,32.0,164.7,29.6,164.7
82.3,163.4,94.1,163.9,93.8,171.0,82.0,170.5
92.7,165.4,110.4,163.6,111.1,170.8,93.4,172.5
17.2,165.3,30.2,165.3,30.2,171.2,17.2,171.2
30.6,165.3,38.5,165.3,38.5,171.2,30.6,171.2
62.1,166.3,81.6,164.5,82.2,170.7,62.7,172.5
39.7,166.8,60.2,164.7,60.9,171.1,40.4,173.2
82.2,171.5,93.2,171.5,93.2,178.1,82.2,178.1
